language,dsp,bench_case,mode,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,batches,elapsed_s,ns_per_compute,fast_ns_per_compute,slow_ns_per_compute,spread_ns_per_compute,spread_percent,ns_per_frame,ns_per_out_samp,frames_per_s,fast_frames_per_s,slow_frames_per_s,out_samp_per_s,fast_out_samp_per_s,slow_out_samp_per_s,checksum
mojo,comb_delay2,run,vec,double,O3,48000,64,0,1,50,250000,256,0.097911999999269,391.64799999707617,381.2000000834814,397.5999999966007,16.399999913119245,4.187433591705225,6.119499999954315,6.119499999954315,163412043.46882352,167890870.89712548,160965794.76998785,163412043.46882352,167890870.89712548,160965794.76998785,18.320416945964094
mojo,comb_delay2,run,vec,single,O3,48000,64,0,1,50,270000,279,0.0984730000000126,364.7148148148618,353.1999998813262,378.7999999985914,25.600000117265154,7.019182955389498,5.698668981482216,5.698668981482216,175479573.08092344,181200453.06201512,168954593.45363778,175479573.08092344,181200453.06201512,168954593.45363778,15.706193389371036
cpp,cubic_distortion,run,scalar,double,O3,48000,64,0,2,50,140950,1000,1.52524729,10821.193969492728,10492.097738876731,10940.769705277586,448.6719664008542,4.146233471701524,169.08115577332387,84.54057788666194,5914319.637965067,6099828.803810948,5849679.84191531,11828639.275930136,12199657.607621895,11699359.68383062,-1.26259844051674
cpp,cubic_distortion,run,scalar,single,O3,48000,64,0,2,50,143421,990,1.4355428379999997,10009.293185795665,9708.127118644068,10111.581893572908,403.4547749288413,4.0308018502384355,156.39520602805726,78.19760301402863,6394057.883210311,6592414.707579443,6329375.628226823,12788115.76642062,13184829.415158886,12658751.256453646,30.875792533159256
cpp,cubic_distortion,run,vec,double,O3,48000,64,0,2,50,136663,913,1.091657253,7987.950308422909,7605.60579064588,8081.585885486019,475.98009484013886,5.958726287245939,124.81172356910795,62.40586178455398,8012067.868338524,8414845.807379799,7919237.747004541,16024135.736677052,16829691.614759598,15838475.494009083,-6.611492269221344
cpp,cubic_distortion,run,vec,single,O3,48000,64,0,2,50,135371,891,0.986975542,7290.893485310739,6931.663424124514,7414.041703637978,482.378279513463,6.61617510234281,113.92021070798027,56.960105353990144,8778073.65159612,9232993.018278776,8632268.681277582,17556147.30319224,18465986.036557555,17264537.362555165,30.8837638348341
mojo,cubic_distortion,run,scalar,double,O3,48000,64,0,2,50,142950,1000,1.5201210000013816,10633.93494229718,10373.626373670908,10773.251867446166,399.6254937752583,3.758020863807634,166.15523347339342,83.07761673669671,6018468.2666654065,6169491.525397243,5940638.981382268,12036936.533330811,12338983.050794486,11881277.962764535,-0.1541328635066747
mojo,cubic_distortion,run,scalar,single,O3,48000,64,0,2,50,141847,976,1.400859000001219,9875.8451007157,9518.443997685066,10006.734006273831,488.2900085887668,4.944285816647534,154.3100796986828,77.1550398493414,6480458.061797868,6723788.049345578,6395693.136229512,12960916.123595737,13447576.098691156,12791386.272459025,30.875792533159256
mojo,cubic_distortion,run,vec,double,O3,48000,64,0,2,50,131950,1000,1.7855119999985618,13531.731716548402,13117.462802821838,13750.000000311951,632.5371974901154,4.67447338404267,211.4333080710688,105.7166540355344,4729623.771784677,4878992.299199223,4654545.454439854,9459247.543569354,9757984.598398443,9309090.908879708,6.299986364570941
mojo,cubic_distortion,run,vec,single,O3,48000,64,0,2,50,133450,1000,1.7915109999994456,13424.58598725699,13054.239878160955,14099.854227851563,1045.614349690606,7.7888014623552175,209.75915605089048,104.87957802544524,4767372.34658489,4902621.722699348,4539054.01898271,9534744.69316978,9805243.445398696,9078108.03796542,26.082562640309337
