language,bench_case,precision,opt,samp_rate,buff_size,inputs,outputs,warmup_iters,run_iters,elapsed_s,ns_per_compute,ns_per_frame,ns_per_out_samp,frames_per_s,out_samp_per_s,checksum
mojo,buffer_sweep,double,O0,96000,512,0,1,100,17801,0.121839,6844.503117802371,13.368170151957756,13.368170151957756,74804553.55017687,74804553.55017687,-45.141691803202974
mojo,buffer_sweep,double,O3,96000,512,0,1,100,41267,0.120056,2909.2495214093587,5.682127971502654,5.682127971502654,175990404.4779103,175990404.4779103,61.112312156213214
mojo,buffer_sweep,single,O0,96000,1024,0,1,100,17273,0.243263,14083.424998552655,13.753344725149077,13.753344725149077,72709585.92141016,72709585.92141016,6.33237726084009
mojo,buffer_sweep,single,O3,96000,1024,0,1,100,20663,0.120081,5811.402022939554,5.675197288026908,5.675197288026908,176205328.07021928,176205328.07021928,50.9156665362395
mojo,buffer_sweep,double,O0,96000,1024,0,1,100,17681,0.245259,13871.330807081047,13.546221491290085,13.546221491290085,73821323.5803783,73821323.5803783,-17.267968601355754
mojo,buffer_sweep,double,O3,96000,1024,0,1,100,20724,0.120361,5807.807373093998,5.671686887787107,5.671686887787107,176314387.55078474,176314387.55078474,19.528898845491867
mojo,buffer_sweep,single,O0,96000,2048,0,1,100,12894,0.364636,28279.509849542424,13.808354418721887,13.808354418721887,72419925.62445836,72419925.62445836,-37.50019358494335
mojo,buffer_sweep,single,O3,96000,2048,0,1,100,10260,0.120323,11727.38791423002,5.726263629995127,5.726263629995127,174633943.635049,174633943.635049,43.8733742339535
mojo,buffer_sweep,double,O0,96000,2048,0,1,100,13214,0.362649,27444.301498410776,13.400537841020887,13.400537841020887,74623870.46427813,74623870.46427813,-32.17830978153887
mojo,buffer_sweep,double,O3,96000,2048,0,1,100,20245,0.247548,12227.611755989134,5.970513552729069,5.970513552729069,167489779.75988495,167489779.75988495,-65.05529680028081
mojo,sample_rate_sweep,single,O0,44100,128,0,1,100,66228,0.120356,1817.2978196533188,14.197639216041553,14.197639216041553,70434245.07295024,70434245.07295024,24.325962473638356
mojo,sample_rate_sweep,single,O3,44100,128,0,1,100,156191,0.120112,769.0071771100768,6.007868571172475,6.007868571172475,166448381.5105901,166448381.5105901,-5.446340325754136
mojo,sample_rate_sweep,double,O0,44100,128,0,1,100,68139,0.119594,1755.1475660047843,13.712090359412377,13.712090359412377,72928340.88666655,72928340.88666655,-23.40086737116107
mojo,sample_rate_sweep,double,O3,44100,128,0,1,100,156083,0.120218,770.2184094360052,6.017331323718791,6.017331323718791,166186627.62647855,166186627.62647855,-15.469628876248079
mojo,sample_rate_sweep,single,O0,48000,128,0,1,100,66174,0.119621,1807.6737087073473,14.12245084927615,14.12245084927615,70809239.18041146,70809239.18041146,8.46004064805399
mojo,sample_rate_sweep,single,O3,48000,128,0,1,100,156488,0.119866,765.9756658657533,5.9841848895761975,5.9841848895761975,167107136.30220413,167107136.30220413,-15.31503928359598
mojo,sample_rate_sweep,double,O0,48000,128,0,1,100,63962,0.116543,1822.0662268221756,14.234892397048247,14.234892397048247,70249916.33989172,70249916.33989172,-15.461431878443488
mojo,sample_rate_sweep,double,O3,48000,128,0,1,100,154392,0.120253,778.8810301051868,6.085008047696772,6.085008047696772,164338320.04191163,164338320.04191163,-3.509836158502961
